qid,answer,prompt_tokens,completion_tokens,total_tokens
summary,,2369096,174952,2544048
fc_a_001,ABD,12776,2103,14879
fc_a_002,ABD,11127,1485,12612
fc_a_003,A,6147,761,6908
fc_a_004,A,32892,1708,34600
fc_a_005,ABD,19028,2277,21305
fc_a_006,A,363469,676,364145
fc_a_007,BD,20889,1273,22162
fc_a_008,B,22891,1659,24550
fc_a_009,ABD,23788,1463,25251
fc_a_010,A,41494,881,42375
fc_a_011,A,33284,1847,35131
fc_a_012,AC,56768,1683,58451
fc_a_013,A,5298,1109,6407
fc_a_014,B,59452,1776,61228
fc_a_015,A,26556,2155,28711
fc_a_016,ABC,8183,1135,9318
fc_a_017,ABD,14179,1531,15710
fc_a_018,B,5414,1277,6691
fc_a_019,AB,19716,2277,21993
fc_a_020,AB,13767,1812,15579
fin_a_001,AB,24866,1803,26669
fin_a_002,ABD,34295,2151,36446
fin_a_003,A,11524,614,12138
fin_a_004,ABD,22913,1544,24457
fin_a_005,ABD,21576,1656,23232
fin_a_006,A,24835,1268,26103
fin_a_007,ABCDEGHIKLNOPQRSTUVWY,34803,1488,36291
fin_a_008,D,15989,3760,19749
fin_a_009,ABC,35746,1534,37280
fin_a_010,A,34523,749,35272
fin_a_011,ACD,29410,1699,31109
fin_a_012,ABD,51946,2373,54319
fin_a_013,A,38796,919,39715
fin_a_014,A,52807,3249,56056
fin_a_015,A,24598,3083,27681
fin_a_016,AD,29030,2464,31494
fin_a_017,AC,51225,1091,52316
fin_a_018,A,18519,820,19339
fin_a_019,AB,57121,1453,58574
fin_a_020,A,35997,3295,39292
ins_a_001,B,10666,1787,12453
ins_a_002,A,13721,1473,15194
ins_a_003,B,30157,2220,32377
ins_a_004,A,19731,1123,20854
ins_a_005,ABCD,12276,1161,13437
ins_a_006,A,24385,3465,27850
ins_a_007,BC,9427,1528,10955
ins_a_008,ABC,14555,1533,16088
ins_a_009,C,8003,1142,9145
ins_a_010,AB,11483,2258,13741
ins_a_011,BC,15494,2033,17527
ins_a_012,A,20465,1034,21499
ins_a_013,A,7568,918,8486
ins_a_014,ABD,18549,1657,20206
ins_a_015,AB,15515,2599,18114
ins_a_016,CD,16762,1723,18485
ins_a_017,ABCD,9865,1466,11331
ins_a_018,BCD,14227,1523,15750
ins_a_019,ABCD,12407,1941,14348
ins_a_020,D,34183,2148,36331
reg_a_001,ACD,9252,1940,11192
reg_a_002,ABC,9740,1286,11026
reg_a_003,A,8202,919,9121
reg_a_004,AB,12974,1958,14932
reg_a_005,BC,10798,3167,13965
reg_a_006,A,7219,1264,8483
reg_a_007,ACD,10712,2231,12943
reg_a_008,A,13027,2186,15213
reg_a_009,A,9452,4532,13984
reg_a_010,B,10525,921,11446
reg_a_011,AC,16523,2878,19401
reg_a_012,ABCD,13024,4211,17235
reg_a_013,A,6752,728,7480
reg_a_014,ABD,11628,1215,12843
reg_a_015,C,7895,1034,8929
reg_a_016,ABCD,12586,2056,14642
reg_a_017,AB,12033,2070,14103
reg_a_018,A,12907,794,13701
reg_a_019,ABD,18599,1321,19920
reg_a_020,ABD,12186,1161,13347
res_a_001,AC,16354,2948,19302
res_a_002,AC,18562,3397,21959
res_a_003,A,9743,1197,10940
res_a_004,A,17292,2233,19525
res_a_005,ABC,23014,1244,24258
res_a_006,B,11879,4107,15986
res_a_007,ABC,10847,1483,12330
res_a_008,A,15400,1450,16850
res_a_009,ABC,14732,1483,16215
res_a_010,A,5334,435,5769
res_a_011,BC,14123,1826,15949
res_a_012,ABC,14654,1669,16323
res_a_013,B,12856,741,13597
res_a_014,ABC,22638,1261,23899
res_a_015,A,21237,1249,22486
res_a_016,ACD,29564,1116,30680
res_a_017,A,20889,2319,23208
res_a_018,A,19583,1431,21014
res_a_019,AB,42711,1461,44172
res_a_020,AB,34574,1397,35971
